ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,Location,Remark
176,Spanish,stan1288,Spanish,spa,Eurasia,40.4414,-1.11788,Indo-European,,
178,Portuguese,port1283,Portuguese,por,Eurasia,39.91,-8.1,Indo-European,,
258,Aguaruna,agua1253,Aguaruna,agr,South America,-5.30044,-77.9218,Chicham,,
260,Yagua,yagu1244,Yagua,yad,South America,-3.42913,-72.2186,Peba-Yagua,,
264,Mashco Piro,mash1270,Mashco Piro,cuj,South America,-11.4745,-70.7953,Arawakan,,
269,Aymara,cent2142,Central Aymara,ayr,South America,-17.0,-68.5,Aymaran,,
271,Mosetén,mose1249,Mosetén-Chimané,cas,South America,-14.64448,-67.83756,Mosetén-Chimané,,
272,Araona,arao1248,Araona,aro,South America,-12.4242,-67.7293,Pano-Tacanan,,
273,Cavineña,cavi1250,Cavineña,cav,South America,-13.3544,-66.6277,Pano-Tacanan,,
274,Ese Ejja,esee1248,Ese Ejja,ese,South America,-11.7268,-67.515,Pano-Tacanan,,
275,Ese Ejja (Huarayo),esee1248,Ese Ejja,ese,South America,-11.7268,-67.515,Pano-Tacanan,,
276,Tacana,taca1256,Tacana,tna,South America,-13.39249,-68.04056,Pano-Tacanan,,
277,Cashibo,cash1251,Cashibo-Cacataibo,cbr,South America,-8.70232,-75.4206,Pano-Tacanan,,
278,Catuquina,pano1254,Panoan Katukína,knt,South America,-7.97456,-71.56151,Pano-Tacanan,,
279,Chácobo,chac1251,Chácobo,cao,South America,-12.133,-66.7164,Pano-Tacanan,,
280,Pacahuara,paca1246,Pacahuara,pcp,South America,-11.9968,-65.5568,Pano-Tacanan,,
281,Shipibo-Conibo,ship1254,Shipibo-Conibo,shp,South America,-7.17105,-74.8219,Pano-Tacanan,,
282,Yaminahua,yami1256,Yaminahua,yaa,South America,-9.8846,-71.5964,Pano-Tacanan,,
283,Cayuvava,cayu1262,Cayubaba,cyb,South America,-13.2482,-65.4822,Cayubaba,,
284,Itonama,iton1250,Itonama,ito,South America,-12.80431,-64.35748,Itonama,,
285,Movima,movi1243,Movima,mzp,South America,-13.8115,-65.6348,Movima,,
286,Pacaas Novos,wari1268,Wari',pav,South America,-10.69948,-64.56152,Chapacuran,,
