Grapheme	IPA	Frequency
^b	b	38
æ	æ	45
'dʸ	dʲ	80
e$	e	152
^'h	h	29
a	a	591
k$	k	34
^y	y	49
u	u	174
č	č	76
i	i	579
'h	h	59
ʔ$	ʔ	183
^p	p	48
œ	œ	108
'd	d	14
i$	i	267
o	o	217
k	k	185
a$	a	135
^h	h	122
'm	m	22
ɲ$	ɲ	49
^m	m	68
'k	k	139
æ$	æ	4
^c̷	c̷	24
n$	n	37
^t	t	71
h	h	135
'ɲ	ɲ	31
ɲ	ɲ	36
n	n	99
'č	'č	30
u$	u	17
^'d	d	4
t	t	145
^u	u	7
o$	o	73
^k	k	113
r	r	109
^d	d	15
e	e	412
'r	r	67
^'t	t	33
b	b	56
^'m	m	20
x$	x	5
ã	ã	11
y	y	124
^'c̷	'c̷	17
^'i	i	7
w	w	16
^õ	õ	4
õ	õ	21
't	t	84
^'p	p	17
'y	y	102
^o	o	18
p	p	35
m	m	102
ʔ	ʔ	82
^š	š	31
m$	m	15
^s	s	31
'n	n	24
+	?+	72
f	f	16
^e	e	17
-	<?>	124
^a	a	34
'w	w	16
ds	dz	5
h$	h	35
'c̷	'c̷	20
's	s	38
^č	č	34
^x	x	10
x	x	20
ii	iː	5
s	s	43
'f	f	8
^'ph	pʰ	4
t$	t	15
^n	n	21
s$	s	67
^w	w	50
^ɲ	ɲ	9
ũ	ũ	6
^'a	a	5
^'n	n	12
'x	x	7
'p	p	19
'ʔ	ʔ	20
š	š	18
ph	pʰ	7
^'y	y	12
^i	i	14
č$	č	26
^'x	x	3
ii$	iː	1
'ẽ$	ẽ	1
œ$	œ	6
^'bw	'bw	1
^'w	w	4
^'b	b	15
ns	ns	4
'b	b	50
^'č	'č	12
^'g	g	1
õ$	õ	4
^tw	tw	1
^fw	fw	8
dʸ	dʲ	17
aa	aː	12
^f	f	21
'a$	a	1
^ii	iː	2
b$	b	1
^'š	'š	7
oo	oː	6
'o	o	2
^ã	ã	3
'ph	pʰ	1
š$	š	12
^'f	f	6
^'o	o	3
kw$	kʷ	1
'š	'š	9
^'s	s	10
uu	uː	1
ee	eː	4
^'k	k	24
^œ	œ	5
'kh	kʰ	3
œ̃$	œ̃	2
^ee	eː	2
g	g	2
^'dʸ	dʲ	3
^'e	e	1
^kh	kʰ	7
'ñ	ɲ	2
d	d	15
'g	g	2
r$	r	6
^'r	r	8
'u	u	2
ææ	æː	1
c̷	c̷	17
ks	ks	17
œ̃	œ̃	4
ã$	ã	5
^'ĩ	ĩ	1
mʸ	mʲ	1
ẽ	ẽ	5
fh	fh	1
^dʸ	dʲ	3
rs	rs	2
^tʸ	tʲ	2
'a	a	3
'i	i	3
hw	hw	2
^ph	pʰ	3
ʔs	ʔs	2
^r	r	5
tʸ	tʲ	4
á	á	1
^aa	aː	1
ĩ	ĩ	10
ẽ$	ẽ	2
c̷h	c̷h	1
ĩ$	ĩ	1
th	tʰ	2
ɲw	ɲw	1
ʔh	ʔh	3
rh	rh	2
v	v	2
xw	xw	2
'ĩ$	ĩ	1
^'ɲ	ɲ	5
fw	fw	1
kh	kʰ	2
^'kh	kʰ	1
'ỹ	ỹ	1
c̷$	c̷	2
^'fw	'fw	2
w̃	w̃	1
šs	šs	1
pw	pw	2
'kw	kʷ	1
^hw	hw	1
c	c	2
'o$	o	1
^kw	kʷ	1
^g	g	2
'i$	i	1
