Grapheme	IPA	Frequency
(	NULL	
)	NULL	
[	NULL	
]	NULL	
^y	j	21
a	a	1029
w	w	125
a$	a	340
^m	m	62
e	e	434
ď̶	dt	79
i$	i	225
^e	e	243
p	p	129
m	m	150
o$	o	135
^h	h	91
o	o	541
č	tʃ	75
-	+	926
h	h	195
t	t	242
r	ɾ	205
k	k	88
i	i	620
c̷	tʃ	112
^ď̶	dt	45
ð	ð	43
e$	e	148
^r	ɾ	29
+	+	171
n	n	244
b	b	144
^b	b	93
^w	w	54
$	NULL	341
^kʷ	kʷ	40
s	s	125
d	d	208
^t	t	78
^a	a	55
^i	i	38
^c̷	tʃ	38
^ð	ð	34
^n	n	33
^s	s	38
kʷ	kʷ	53
^o	o	20
y	j	10
^	NULL	23
^č	tʃ	30
^p	p	57
l	l	8
^d	d	30
^k	k	34
š	ʃ	19
ʔ	ʔ	4
aa	aː	2
^š	ʃ	3
'd	d	1
…	+	9
^a$	a	1
^-	NULL	
-$	NULL	
--	+	
_-	+	
_	+	
-_	+	
?	?	
