Grapheme	IPA	Frequency
(	NULL	
)	NULL	
[	NULL	
]	NULL	
^n	n	65
ɨ	ɨ	217
t	t	273
ɨ$	ɨ	54
^m	m	70
ee$	eː	4
ee	eː	3
+	+	23
p	p	37
o	o	96
o$	o	50
^č	tʃ	36
u	u	142
a$	a	109
a	a	372
s	s	38
i$	i	322
^β	β	94
š	ʃ	23
'n	n	29
ã$	ã	24
^kʷ	kʷ	19
't	t	34
u$	u	38
^s	s	14
i	i	166
'β	β	21
^ṣ̌	ʂ	56
'ɨ	ɨ	13
k	k	113
's	s	15
^ʔ	ʔ	61
õ	õ	9
'p	p	29
ṣ̌$	ʂ	9
^p	p	59
'r	ɾ	25
^u	u	6
'ɲ	ɲ	4
m	m	36
'k	k	42
ṣ̌	ʂ	46
-	+	261
'ã$	ã	3
'č	tʃ	10
õ$	õ	10
ii$	iː	7
^ii$	iː	4
'ṣ̌	ʂ	5
r	ɾ	56
'ɨ̃$	ɨ̃	1
'i$	i	2
^k	k	61
'õ	õ	2
β	β	38
$	NULL	37
^t	t	53
ɨ̃$	ɨ̃	8
n	n	113
ɲ	ɲ	18
'kʷ	kʷ	5
ĩ$	ĩ	13
e	e	1
'ẽ	ẽ	1
e$	e	5
^ɨ	ɨ	7
^c̷	ts	14
ii	iː	3
'ĩ$	ĩ	3
^o	o	8
č	tʃ	21
'a$	a	2
^r	ɾ	38
^ũ	ũ	3
ɨ̃	ɨ̃	9
c̷	ts	13
^ɲ	ɲ	19
ĩ	ĩ	14
ũ	ũ	5
^'a	a	2
ũ$	ũ	7
^'k	k	1
'm	m	17
^a	a	14
^aa$	aː	1
aa$	aː	3
b	b	1
ã	ã	26
oo$	oː	14
oo	oː	5
ʔ	ʔ	2
'i	i	5
s$	s	5
^š	ʃ	8
'c̷	ts	8
š$	ʃ	2
'š	ʃ	7
kʷ	kʷ	8
uu$	uː	3
^i	i	18
'ĩ	ĩ	2
'a	a	11
'o	o	6
'ɨ̃	ɨ̃	3
^h	h	2
'õ$	õ	2
uu	uː	4
ɨɨ	ɨː	3
'u	u	2
'ã	ã	1
^'m	m	1
^ĩ	ĩ	2
^ɨ̃	ɨ̃	1
'o$	o	1
^ã	ã	1
^'č	tʃ	1
<̃>	NULL	1
^	NULL	4
^uu	uː	1
ɨɨ$	ɨː	1
^-	NULL	
-$	NULL	
--	+	
_-	+	
_	+	
-_	+	
?	?	
