mundo	ˈmun̩do
tierra	ˈtjerra
suelo	ˈswelo
polvo	ˈpolβo
lodo	ˈloðo
arena	aˈrena
mundo	ˈmun̩do
tierra	ˈtjerra
suelo	ˈswelo
polvo	ˈpolβo
lodo	ˈloðo
arena	aˈrena
montaɲa	
loma	ˈloma
cerro	ˈθerro
acantilado	akan̩tiˈlaðo
barranca	
pampa	ˈpampa
llanura	ʎaˈnura
campo	ˈkampo
valle	ˈbaʎe
isla	ˈisla
continente	kon̩tiˈnen̩te
mundo	ˈmun̩do
tierra	ˈtjerra
suelo	ˈswelo
polvo	ˈpolβo
lodo	ˈloðo
arena	aˈrena
montaɲa	
loma	ˈloma
cerro	ˈθerro
acantilado	akan̩tiˈlaðo
barranca	
pampa	ˈpampa
llanura	ʎaˈnura
campo	ˈkampo
valle	ˈbaʎe
isla	ˈisla
continente	kon̩tiˈnen̩te
tierra firme	
ribera	rriˈβera
playa	ˈplaɟa
costa	ˈkosta
cueva	ˈkweβa
gruta	ˈgruta
agua	ˈaɣwa
mar	mar
calma	ˈkalma
agitado	axiˈtaðo, -a
borrascoso	borrasˈkoso, -a
espuma	esˈpuma
océano	
lago	ˈlaɣo
golfo	ˈgolfo
bahía	
laguna	laˈɣuna
arrecife	arreˈθife
promontorio	promon̩ˈtorjo
punta	ˈpun̩ta
ola	ˈola
marea	maˈrea
bajamar	baxaˈmar
pleamar	pleaˈmar
río	
corriente	koˈrrjen̩te
arroyo	aˈrroɟo
remolino	rremoˈlino
manantial	manan̩ˈtjal
pozo	ˈpoθo
pantano	pan̩ˈtano
cascada	kasˈkaða
salto	ˈsal̩to
bosque	ˈboske
selva	ˈselβa
árbol	
madera	maˈðera
piedra	ˈpjeðra
roca	ˈrroka
terremoto	terreˈmoto
temblor	temˈblor
cielo	ˈθjelo
sol	sol
luna	ˈluna
estrella	esˈtreʎa
relámpago	
trueno	ˈtrweno
rayo	ˈrraɟo
tempestad	
tormenta	torˈmen̩ta
arco iris	
luz	luθ
oscuridad	o<span class="super">β</span>skuriˈðað
tinieblas	
sombra	ˈsombra
rocío	
aire	ˈai̯re
viento	ˈbjen̩to
nube	ˈnuβe
neblina	neˈβlina
niebla	ˈnjeβla
lluvia	ˈʎuβja
nieve	ˈnjeβe
hielo	ˈɟelo
tiempo	ˈtjempo
fuego	ˈfweɣo
llama	ˈʎama
humo	ˈumo
cenizas	
brasas	ˈbrasas
quemar	keˈmar
quemarse	
arder	arˈðer
encender	eṇθen̩ˈder
apagar	apaˈɣar
extinguir	estiŋˈgir
fósforo	
cerilla	θeˈriʎa
leɲa	
carbón	
persona	perˈsona
hombre	ˈombre
mujer	muˈxer
varón	
macho	ˈmaʧo
hembra	ˈembra
muchacho	muˈʧaʧo, -a
el joven	
muchacha	muˈʧaʧa
la joven	
niɲo	
niɲo	
bebé	
nene	ˈnene, -a
marido	maˈriðo
esposo	esˈposo, -a
esposa	esˈposa
casarse	
casamiento	kasaˈmjen̩to
boda	ˈboða
divorcio	diˈβorθjo
padre	ˈpaðre
madre	ˈmaðre
padres	
hombre casado	
mujer casada	
hijo	ˈixo, -a
hija	
hijo	ˈixo, -a
hija	
hermano	erˈmano, -a
hermano mayor	
hermano menor	
hermana	ermaˈnar
hermana mayor	
hermana menor	
hermano	erˈmano, -a
hermana	ermaˈnar
gemelos	
mellizo	meˈʎiθo, -a
abuelo	aˈβwelo
anciano	aṇˈθjano, -a
hombre viejo	
abuela	
anciana	
mujer vieja	
nieto	ˈnjeto, -a
nieta	
tío	
hermano de la madre	
hermano del padre	
tía	
hermana de la madre	
hermana del padre	
sobrino	soˈβrino, -a
sobrina	
primo	ˈprimo, -a
prima	ˈprima
antepasados	
descendientes	
suegro	ˈsweɣro, -a
suegro	ˈsweɣro, -a
suegra	
suegra	
yerno	ˈɟerno
yerno	ˈɟerno
nuera	ˈnwera
nuera	ˈnwera
padrastro	paˈðrastro
madrastra	maˈðrastra
hijastro	iˈxastro, -a
entenado	en̩teˈnaðo, -a
hijastra	
entenada	
huérfano	
huérfana	
viuda	
viudo	ˈbjuðo, -a
parientes	
parentela	paren̩ˈtela
familia	faˈmilja
yo	ɟo
tú	
usted	
él	
ella	ˈeʎa
ello	ˈeʎo
nosotros	noˈsotros, -as
nosotras	
nosotros	noˈsotros, -as
nosotras	
nosotros	noˈsotros, -as
nosotras	
ustedes	
ellos	ˈeʎos
ellas	ˈeʎas
animal	aniˈmal
masculino	maskuˈlino
